o;o_label;o_synonym
http://purl.obolibrary.org/obo/UBERON_0002952;intermediate acoustic stria;striae acusticae intermedius
http://purl.obolibrary.org/obo/UBERON_0002952;intermediate acoustic stria;intermediate acoustic stria of held
http://purl.obolibrary.org/obo/UBERON_0002952;intermediate acoustic stria;intermediate acoustic stria (held)
http://purl.obolibrary.org/obo/UBERON_0002952;intermediate acoustic stria;commissure of held
http://purl.obolibrary.org/obo/UBERON_0002953;lateral lemniscus;lemniscus lateralis
http://purl.obolibrary.org/obo/UBERON_0002953;lateral lemniscus;lemniscus acusticus
http://purl.obolibrary.org/obo/UBERON_0002953;lateral lemniscus;lateral lemniscus (Reil)
http://purl.obolibrary.org/obo/UBERON_0002953;lateral lemniscus;lateral fillet
http://purl.obolibrary.org/obo/UBERON_0002953;lateral lemniscus;central acoustic tract
http://purl.obolibrary.org/obo/UBERON_0002956;granular layer of cerebellar cortex;stratum granulosum corticis cerebelli
http://purl.obolibrary.org/obo/UBERON_0002956;granular layer of cerebellar cortex;stratum granulosum cerebelli
http://purl.obolibrary.org/obo/UBERON_0002956;granular layer of cerebellar cortex;granule cell layer of cerebellar cortex
http://purl.obolibrary.org/obo/UBERON_0002956;granular layer of cerebellar cortex;granular layer of cerebellum
http://purl.obolibrary.org/obo/UBERON_0002956;granular layer of cerebellar cortex;cerebellum granule layer
http://purl.obolibrary.org/obo/UBERON_0002956;granular layer of cerebellar cortex;cerebellum granule cell layer
http://purl.obolibrary.org/obo/UBERON_0002956;granular layer of cerebellar cortex;cerebellar granule layer
http://purl.obolibrary.org/obo/UBERON_0002956;granular layer of cerebellar cortex;cerebellar granule cell layer
http://purl.obolibrary.org/obo/UBERON_0002956;granular layer of cerebellar cortex;cerebellar granular layer
http://purl.obolibrary.org/obo/UBERON_0002974;molecular layer of cerebellar cortex;thalamic fiber tracts
http://purl.obolibrary.org/obo/UBERON_0002974;molecular layer of cerebellar cortex;stratum moleculare corticis cerebelli
http://purl.obolibrary.org/obo/UBERON_0002974;molecular layer of cerebellar cortex;fasciculi thalami
http://purl.obolibrary.org/obo/UBERON_0002974;molecular layer of cerebellar cortex;cerebellum molecular layer
http://purl.obolibrary.org/obo/UBERON_0002974;molecular layer of cerebellar cortex;cerebellum molecular cell layer
http://purl.obolibrary.org/obo/UBERON_0002974;molecular layer of cerebellar cortex;cerebellar molecular layer
http://purl.obolibrary.org/obo/UBERON_0002979;Purkinje cell layer of cerebellar cortex;Purkinje cell layer
http://purl.obolibrary.org/obo/UBERON_0002979;Purkinje cell layer of cerebellar cortex;cerebellum Purkinje layer
http://purl.obolibrary.org/obo/UBERON_0002979;Purkinje cell layer of cerebellar cortex;cerebellum Purkinje cell layer
http://purl.obolibrary.org/obo/UBERON_0002979;Purkinje cell layer of cerebellar cortex;cerebellar Purkinje cell layer
http://purl.obolibrary.org/obo/UBERON_0002979;Purkinje cell layer of cerebellar cortex;reticulatum thalami (Hassler)
http://purl.obolibrary.org/obo/UBERON_0002979;Purkinje cell layer of cerebellar cortex;reticular nucleus thalamus (Arnold)
http://purl.obolibrary.org/obo/UBERON_0002979;Purkinje cell layer of cerebellar cortex;nucleus thalamicus reticularis
http://purl.obolibrary.org/obo/UBERON_0002979;Purkinje cell layer of cerebellar cortex;nucleus reticulatus (thalami)
http://purl.obolibrary.org/obo/UBERON_0002979;Purkinje cell layer of cerebellar cortex;nucleus reticularis
http://purl.obolibrary.org/obo/UBERON_0002979;Purkinje cell layer of cerebellar cortex;nuclei reticulares (thalami)
