o,o_lable,o_synonym
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,main bronchus mucosa
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,main bronchus mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,main bronchus mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,main bronchus organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucosa of bronchus principalis
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucosa of organ of bronchus principalis
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucosa of organ of main bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucosa of organ of primary bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucosa of organ of principal bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucosa of primary bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucosa of principal bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucous membrane of bronchus principalis
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucous membrane of main bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucous membrane of primary bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,mucous membrane of principal bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,organ mucosa of bronchus principalis
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,organ mucosa of main bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,organ mucosa of primary bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,organ mucosa of principal bronchus
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,primary bronchus mucosa
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,primary bronchus mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,primary bronchus mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,primary bronchus organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,principal bronchus mucosa
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,principal bronchus mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,principal bronchus mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005036,mucosa of main bronchus,principal bronchus organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,lobar bronchial mucosa
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,lobar bronchus mucosa
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,lobar bronchus mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,lobar bronchus mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,lobar bronchus organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,mucosa of organ of lobar bronchus
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,mucosa of organ of secondary bronchus
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,mucosa of secondary bronchus
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,mucous membrane of lobar bronchus
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,mucous membrane of secondary bronchus
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,organ mucosa of lobar bronchus
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,organ mucosa of secondary bronchus
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,secondary bronchus mucosa
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,secondary bronchus mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,secondary bronchus mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005037,mucosa of lobar bronchus,secondary bronchus organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,mucosa of organ of segmental bronchus
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,mucosa of organ of tertiary bronchus
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,mucosa of tertiary bronchus
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,mucous membrane of segmental bronchus
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,mucous membrane of tertiary bronchus
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,organ mucosa of segmental bronchus
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,organ mucosa of tertiary bronchus
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,segmental bronchial mucosa
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,segmental bronchus mucosa
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,segmental bronchus mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,segmental bronchus mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,segmental bronchus organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,tertiary bronchus mucosa
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,tertiary bronchus mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,tertiary bronchus mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005038,mucosa of segmental bronchus,tertiary bronchus organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005039,mucosa of bronchiole,bronchiole mucosa
http://purl.obolibrary.org/obo/UBERON_0005039,mucosa of bronchiole,bronchiole mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005039,mucosa of bronchiole,bronchiole mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005039,mucosa of bronchiole,bronchiole organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005039,mucosa of bronchiole,mucosa of organ of bronchiole
http://purl.obolibrary.org/obo/UBERON_0005039,mucosa of bronchiole,mucous membrane of bronchiole
http://purl.obolibrary.org/obo/UBERON_0005039,mucosa of bronchiole,organ mucosa of bronchiole
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,bronchiolus terminalis mucosa
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,bronchiolus terminalis mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,bronchiolus terminalis mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,bronchiolus terminalis organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,mucosa of bronchiolus terminalis
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,mucosa of organ of bronchiolus terminalis
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,mucosa of organ of terminal bronchiole
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,mucous membrane of bronchiolus terminalis
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,mucous membrane of terminal bronchiole
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,organ mucosa of bronchiolus terminalis
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,organ mucosa of terminal bronchiole
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,terminal bronchiole mucosa
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,terminal bronchiole mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,terminal bronchiole mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005040,mucosa of terminal bronchiole,terminal bronchiole organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,bronchiolus respiratorius mucosa
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,bronchiolus respiratorius mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,bronchiolus respiratorius mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,bronchiolus respiratorius organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,mucosa of bronchiolus respiratorius
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,mucosa of organ of bronchiolus respiratorius
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,mucosa of organ of respiratory bronchiole
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,mucous membrane of bronchiolus respiratorius
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,mucous membrane of respiratory bronchiole
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,organ mucosa of bronchiolus respiratorius
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,organ mucosa of respiratory bronchiole
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,respiratory bronchiole mucosa
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,respiratory bronchiole mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,respiratory bronchiole mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005041,mucosa of respiratory bronchiole,respiratory bronchiole organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005042,inner epithelial layer of tympanic membrane,mucosa of tympanic membrane
http://purl.obolibrary.org/obo/UBERON_0005042,inner epithelial layer of tympanic membrane,mucous layer of tympanic membrane
http://purl.obolibrary.org/obo/UBERON_0005042,inner epithelial layer of tympanic membrane,mucous stratum of tympanic membrane
http://purl.obolibrary.org/obo/UBERON_0005042,inner epithelial layer of tympanic membrane,tympanic membrane external middle ear cavity epithelial component
http://purl.obolibrary.org/obo/UBERON_0005042,inner epithelial layer of tympanic membrane,tympanic membrane mucosa
http://purl.obolibrary.org/obo/UBERON_0005043,mucosa of nasolacrimal duct,mucosa of organ of nasolacrimal duct
http://purl.obolibrary.org/obo/UBERON_0005043,mucosa of nasolacrimal duct,mucous membrane of nasolacrimal duct
http://purl.obolibrary.org/obo/UBERON_0005043,mucosa of nasolacrimal duct,nasolacrimal duct mucosa
http://purl.obolibrary.org/obo/UBERON_0005043,mucosa of nasolacrimal duct,nasolacrimal duct mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005043,mucosa of nasolacrimal duct,nasolacrimal duct mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005043,mucosa of nasolacrimal duct,nasolacrimal duct organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005043,mucosa of nasolacrimal duct,nasolacrimal ductal mucosa
http://purl.obolibrary.org/obo/UBERON_0005043,mucosa of nasolacrimal duct,organ mucosa of nasolacrimal duct
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,auditory tube mucosa
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,auditory tube mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,auditory tube mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,auditory tube organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,internal auditory tube mucosa
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,internal auditory tube mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,internal auditory tube mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,internal auditory tube organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,mucosa of auditory tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,mucosa of internal auditory tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,mucosa of organ of auditory tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,mucosa of organ of internal auditory tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,mucosa of organ of pharyngotympanic tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,mucous membrane of auditory tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,mucous membrane of internal auditory tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,mucous membrane of pharyngotympanic tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,mucuous membrane of eustachian tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,mucuous membrane of pharyngotympanic tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,organ mucosa of auditory tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,organ mucosa of internal auditory tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,organ mucosa of pharyngotympanic tube
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,pharyngotympanic tube mucosa
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,pharyngotympanic tube mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,pharyngotympanic tube mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,pharyngotympanic tube organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,tunica mucosa (tuba auditiva)
http://purl.obolibrary.org/obo/UBERON_0005044,mucosa of pharyngotympanic tube,tunica mucosa (tuba auditoria)
http://purl.obolibrary.org/obo/UBERON_0005045,mucosa of ethmoidal sinus,ethmoid sinus mucosa
http://purl.obolibrary.org/obo/UBERON_0005045,mucosa of ethmoidal sinus,ethmoid sinus mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005045,mucosa of ethmoidal sinus,ethmoid sinus mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005045,mucosa of ethmoidal sinus,ethmoid sinus organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005045,mucosa of ethmoidal sinus,ethmoidal sinus mucosa
http://purl.obolibrary.org/obo/UBERON_0005045,mucosa of ethmoidal sinus,mucosa of ethmoid sinus
http://purl.obolibrary.org/obo/UBERON_0005045,mucosa of ethmoidal sinus,mucosa of organ of ethmoid sinus
http://purl.obolibrary.org/obo/UBERON_0005045,mucosa of ethmoidal sinus,mucous membrane of ethmoid sinus
http://purl.obolibrary.org/obo/UBERON_0005045,mucosa of ethmoidal sinus,organ mucosa of ethmoid sinus
http://purl.obolibrary.org/obo/UBERON_0005046,mucosa of hard palate,hard palate mucosa
http://purl.obolibrary.org/obo/UBERON_0005046,mucosa of hard palate,hard palate mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005046,mucosa of hard palate,mucous membrane of hard palate
http://purl.obolibrary.org/obo/UBERON_0005046,mucosa of hard palate,organ mucosa of hard palate
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,mucosa of glottis
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,mucosa of organ of true vocal cord
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,mucosa of organ of vocal cord
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,mucosa of true vocal cord
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,mucosa of vocal cord
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,mucous membrane of true vocal cord
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,mucous membrane of vocal cord
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,organ mucosa of true vocal cord
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,organ mucosa of vocal cord
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,true vocal cord mucosa
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,true vocal cord mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,true vocal cord mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,true vocal cord organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,vocal cord mucosa
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,vocal cord mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,vocal cord mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,vocal cord organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005047,mucosa of vocal fold,vocal fold mucosa
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,fallopian tube mucosa
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,fallopian tube mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,fallopian tube mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,fallopian tube organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,mucosa of fallopian tube
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,mucosa of organ of fallopian tube
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,mucosa of organ of uterine tube
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,mucosa of oviduct
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,mucous membrane of fallopian tube
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,mucous membrane of uterine tube
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,organ mucosa of fallopian tube
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,organ mucosa of uterine tube
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,tunica mucosa tubae uterinae
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,uterine tubal mucosa
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,uterine tube mucosa
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,uterine tube mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,uterine tube mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005048,mucosa of uterine tube,uterine tube organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005049,mucosa of infundibulum of uterine tube,mucosa of infundibulum of fallopian tube
http://purl.obolibrary.org/obo/UBERON_0005049,mucosa of infundibulum of uterine tube,mucosa of infundibulum of oviduct
http://purl.obolibrary.org/obo/UBERON_0005049,mucosa of infundibulum of uterine tube,mucosa of organ of uterine tube infundibulum
http://purl.obolibrary.org/obo/UBERON_0005049,mucosa of infundibulum of uterine tube,mucosa of uterine tube infundibulum
http://purl.obolibrary.org/obo/UBERON_0005049,mucosa of infundibulum of uterine tube,mucous membrane of uterine tube infundibulum
http://purl.obolibrary.org/obo/UBERON_0005049,mucosa of infundibulum of uterine tube,organ mucosa of uterine tube infundibulum
http://purl.obolibrary.org/obo/UBERON_0005049,mucosa of infundibulum of uterine tube,uterine tube infundibulum mucosa
http://purl.obolibrary.org/obo/UBERON_0005049,mucosa of infundibulum of uterine tube,uterine tube infundibulum mucosa of organ
http://purl.obolibrary.org/obo/UBERON_0005049,mucosa of infundibulum of uterine tube,uterine tube infundibulum mucous membrane
http://purl.obolibrary.org/obo/UBERON_0005049,mucosa of infundibulum of uterine tube,uterine tube infundibulum organ mucosa
http://purl.obolibrary.org/obo/UBERON_0005050,liver papillary process,processus papillaris
http://purl.obolibrary.org/obo/UBERON_0005050,liver papillary process,processus papillaris lobi caudati hepatis
http://purl.obolibrary.org/obo/UBERON_0005051,mediastinum testis,body of highmore
http://purl.obolibrary.org/obo/UBERON_0005051,mediastinum testis,hilum of testicle
http://purl.obolibrary.org/obo/UBERON_0005051,mediastinum testis,mediastinum of testis
http://purl.obolibrary.org/obo/UBERON_0005051,mediastinum testis,testis mediastinum
http://purl.obolibrary.org/obo/UBERON_0005052,gizzard,gastric mill
http://purl.obolibrary.org/obo/UBERON_0005052,gizzard,gigerium
http://purl.obolibrary.org/obo/UBERON_0005053,primary nerve cord,nerve cord
http://purl.obolibrary.org/obo/UBERON_0005053,primary nerve cord,true nerve cord
http://purl.obolibrary.org/obo/UBERON_0005054,primary dorsal nerve cord,dorsal nerve cord
http://purl.obolibrary.org/obo/UBERON_0005054,primary dorsal nerve cord,true dorsal nerve cord
http://purl.obolibrary.org/obo/UBERON_0005055,zone of long bone,long bone zone
http://purl.obolibrary.org/obo/UBERON_0005056,external female genitalia,external female genital organ
http://purl.obolibrary.org/obo/UBERON_0005056,external female genitalia,external genitalia of female reproductive system
http://purl.obolibrary.org/obo/UBERON_0005056,external female genitalia,female external genitalia
http://purl.obolibrary.org/obo/UBERON_0005056,external female genitalia,organa genitalia feminina externa
http://purl.obolibrary.org/obo/UBERON_0005057,immune organ,immune system organ
http://purl.obolibrary.org/obo/UBERON_0005058,hemolymphoid system gland,haemolymphoid system gland
http://purl.obolibrary.org/obo/UBERON_0005058,hemolymphoid system gland,hemopoietic or lymphoid gland
http://purl.obolibrary.org/obo/UBERON_0005058,hemolymphoid system gland,hemopoietic or lymphoid organ
http://purl.obolibrary.org/obo/UBERON_0005061,neural groove,
http://purl.obolibrary.org/obo/UBERON_0005062,neural fold,medullary fold
http://purl.obolibrary.org/obo/UBERON_0005063,left ventricular compact myocardium,
http://purl.obolibrary.org/obo/UBERON_0005064,left ventricular trabecular myocardium,
http://purl.obolibrary.org/obo/UBERON_0005065,right ventricular compact myocardium,
http://purl.obolibrary.org/obo/UBERON_0005066,right ventricular trabecular myocardium,
http://purl.obolibrary.org/obo/UBERON_0005067,amphid sensory organ,amphid sensillum
http://purl.obolibrary.org/obo/UBERON_0005068,neural rod,
http://purl.obolibrary.org/obo/UBERON_0005069,neural fold hinge point,
http://purl.obolibrary.org/obo/UBERON_0005070,anterior neuropore,cephalic neuropore
http://purl.obolibrary.org/obo/UBERON_0005070,anterior neuropore,cranial neuropore
http://purl.obolibrary.org/obo/UBERON_0005070,anterior neuropore,rostral neuropore
http://purl.obolibrary.org/obo/UBERON_0005071,posterior neuropore,caudal neuropore
http://purl.obolibrary.org/obo/UBERON_0005075,forebrain-midbrain boundary,diencephalic-mesencephalic boundary
http://purl.obolibrary.org/obo/UBERON_0005075,forebrain-midbrain boundary,forebrain midbrain boundary
http://purl.obolibrary.org/obo/UBERON_0005075,forebrain-midbrain boundary,forebrain-midbrain boundary region
http://purl.obolibrary.org/obo/UBERON_0005076,hindbrain-spinal cord boundary,hindbrain-spinal cord boundary region
http://purl.obolibrary.org/obo/UBERON_0005077,neuropore,
http://purl.obolibrary.org/obo/UBERON_0005078,lamina terminalis of neural tube,
http://purl.obolibrary.org/obo/UBERON_0005079,eggshell,egg shell
http://purl.obolibrary.org/obo/UBERON_0005080,metanephric ureteric bud,
http://purl.obolibrary.org/obo/UBERON_0005081,ureter ureteric bud,
http://purl.obolibrary.org/obo/UBERON_0005082,tube lumen,
http://purl.obolibrary.org/obo/UBERON_0005083,nipple sheath,
http://purl.obolibrary.org/obo/UBERON_0005085,ectodermal placode,
http://purl.obolibrary.org/obo/UBERON_0005086,hair follicle placode,hair placode
http://purl.obolibrary.org/obo/UBERON_0005087,tooth placode,dental anlage
http://purl.obolibrary.org/obo/UBERON_0005087,tooth placode,dental placode
http://purl.obolibrary.org/obo/UBERON_0005087,tooth placode,dental primordium
http://purl.obolibrary.org/obo/UBERON_0005087,tooth placode,odontogenic placode
http://purl.obolibrary.org/obo/UBERON_0005087,tooth placode,tooth anlage
http://purl.obolibrary.org/obo/UBERON_0005087,tooth placode,tooth primordium
http://purl.obolibrary.org/obo/UBERON_0005088,sebaceous gland placode,
http://purl.obolibrary.org/obo/UBERON_0005089,sweat gland placode,
http://purl.obolibrary.org/obo/UBERON_0005090,muscle structure,muscle
http://purl.obolibrary.org/obo/UBERON_0005090,muscle structure,muscle element
http://purl.obolibrary.org/obo/UBERON_0005090,muscle structure,musculus
http://purl.obolibrary.org/obo/UBERON_0005091,left horn of sinus venosus,sinus venosus left horn
http://purl.obolibrary.org/obo/UBERON_0005092,right horn of sinus venosus,sinus venosus right horn
http://purl.obolibrary.org/obo/UBERON_0005093,embryonic cement gland,
http://purl.obolibrary.org/obo/UBERON_0005094,beak,avian beak
http://purl.obolibrary.org/obo/UBERON_0005095,kidney rudiment,
http://purl.obolibrary.org/obo/UBERON_0005096,descending thin limb,descending thin limb of loop of Henle
http://purl.obolibrary.org/obo/UBERON_0005096,descending thin limb,loop of Henle descending thin limb
http://purl.obolibrary.org/obo/UBERON_0005096,descending thin limb,loop of Henle thin descending limb
http://purl.obolibrary.org/obo/UBERON_0005096,descending thin limb,pars descendens (tubulus attenuatus)
http://purl.obolibrary.org/obo/UBERON_0005096,descending thin limb,thin descending limb
http://purl.obolibrary.org/obo/UBERON_0005097,renal connecting tubule,connecting tubule
http://purl.obolibrary.org/obo/UBERON_0005097,renal connecting tubule,kidney connecting tubule
http://purl.obolibrary.org/obo/UBERON_0005099,short descending thin limb,
http://purl.obolibrary.org/obo/UBERON_0005100,long descending thin limb,
http://purl.obolibrary.org/obo/UBERON_0005101,early distal convoluted tubule,
http://purl.obolibrary.org/obo/UBERON_0005102,late distal convoluted tubule,
http://purl.obolibrary.org/obo/UBERON_0005103,mesonephric epithelium,
http://purl.obolibrary.org/obo/UBERON_0005104,anterior mesonephric tubule,cranial mesonephric tubule
http://purl.obolibrary.org/obo/UBERON_0005105,posterior mesonephric tubule,caudal mesonephric tubule
http://purl.obolibrary.org/obo/UBERON_0005106,metanephric tubule,
http://purl.obolibrary.org/obo/UBERON_0005107,metanephric cap,cap mesenchyme
http://purl.obolibrary.org/obo/UBERON_0005108,metanephric epithelium,
http://purl.obolibrary.org/obo/UBERON_0005109,metanephric smooth muscle tissue,
http://purl.obolibrary.org/obo/UBERON_0005110,metanephric nephron,
http://purl.obolibrary.org/obo/UBERON_0005111,metanephric pyramid,
http://purl.obolibrary.org/obo/UBERON_0005113,metanephric cortex mesenchyme,
http://purl.obolibrary.org/obo/UBERON_0005114,metanephric ascending thin limb,
http://purl.obolibrary.org/obo/UBERON_0005115,metanephric cortical collecting duct,
http://purl.obolibrary.org/obo/UBERON_0005116,metanephric descending thin limb,
http://purl.obolibrary.org/obo/UBERON_0005117,metanephric distal convoluted tubule,
http://purl.obolibrary.org/obo/UBERON_0005118,metanephric early distal convoluted tubule,
http://purl.obolibrary.org/obo/UBERON_0005119,metanephric glomerular mesangium,
http://purl.obolibrary.org/obo/UBERON_0005120,metanephric late distal convoluted tubule,
http://purl.obolibrary.org/obo/UBERON_0005121,metanephric long descending thin limb bend,
